language,symbol,kind,source_rule
go,import_spec_list,NONTERMINAL,import_declaration
go,_package_identifier,NONTERMINAL,import_spec
go,_string_literal,NONTERMINAL,import_spec
go,blank_identifier,NONTERMINAL,import_spec
go,dot,NONTERMINAL,import_spec
go,import_spec,NONTERMINAL,import_spec_list
go,const_declaration,NONTERMINAL,_declaration
go,type_declaration,NONTERMINAL,_declaration
go,var_declaration,NONTERMINAL,_declaration
go,const_spec,NONTERMINAL,const_declaration
go,_type,NONTERMINAL,const_spec
go,expression_list,NONTERMINAL,const_spec
go,identifier,NONTERMINAL,const_spec
go,var_spec,NONTERMINAL,var_declaration
go,var_spec_list,NONTERMINAL,var_declaration
go,_type,NONTERMINAL,var_spec
go,expression_list,NONTERMINAL,var_spec
go,identifier,NONTERMINAL,var_spec
go,var_spec,NONTERMINAL,var_spec_list
go,_simple_type,NONTERMINAL,function_declaration
go,block,NONTERMINAL,function_declaration
go,identifier,NONTERMINAL,function_declaration
go,parameter_list,NONTERMINAL,function_declaration
go,type_parameter_list,NONTERMINAL,function_declaration
go,_field_identifier,NONTERMINAL,method_declaration
go,_simple_type,NONTERMINAL,method_declaration
go,block,NONTERMINAL,method_declaration
go,parameter_list,NONTERMINAL,method_declaration
go,type_parameter_declaration,NONTERMINAL,type_parameter_list
go,identifier,NONTERMINAL,type_parameter_declaration
go,type_elem,NONTERMINAL,type_parameter_declaration
go,parameter_declaration,NONTERMINAL,parameter_list
go,variadic_parameter_declaration,NONTERMINAL,parameter_list
go,_type,NONTERMINAL,parameter_declaration
go,identifier,NONTERMINAL,parameter_declaration
go,_type,NONTERMINAL,variadic_parameter_declaration
go,identifier,NONTERMINAL,variadic_parameter_declaration
go,_type,NONTERMINAL,type_alias
go,_type_identifier,NONTERMINAL,type_alias
go,type_parameter_list,NONTERMINAL,type_alias
go,type_alias,NONTERMINAL,type_declaration
go,type_spec,NONTERMINAL,type_declaration
go,_type,NONTERMINAL,type_spec
go,_type_identifier,NONTERMINAL,type_spec
go,type_parameter_list,NONTERMINAL,type_spec
go,_field_identifier,NONTERMINAL,field_name_list
go,_expression,NONTERMINAL,expression_list
go,_simple_type,NONTERMINAL,_type
go,parenthesized_type,NONTERMINAL,_type
go,_type,NONTERMINAL,parenthesized_type
go,_type_identifier,NONTERMINAL,_simple_type
go,array_type,NONTERMINAL,_simple_type
go,channel_type,NONTERMINAL,_simple_type
go,function_type,NONTERMINAL,_simple_type
go,generic_type,NONTERMINAL,_simple_type
go,interface_type,NONTERMINAL,_simple_type
go,map_type,NONTERMINAL,_simple_type
go,negated_type,NONTERMINAL,_simple_type
go,pointer_type,NONTERMINAL,_simple_type
go,qualified_type,NONTERMINAL,_simple_type
go,slice_type,NONTERMINAL,_simple_type
go,struct_type,NONTERMINAL,_simple_type
go,_type_identifier,NONTERMINAL,generic_type
go,negated_type,NONTERMINAL,generic_type
go,qualified_type,NONTERMINAL,generic_type
go,type_arguments,NONTERMINAL,generic_type
go,type_elem,NONTERMINAL,type_arguments
go,_type,NONTERMINAL,pointer_type
go,_expression,NONTERMINAL,array_type
go,_type,NONTERMINAL,array_type
go,_type,NONTERMINAL,implicit_length_array_type
go,_type,NONTERMINAL,slice_type
go,field_declaration_list,NONTERMINAL,struct_type
go,_type,NONTERMINAL,negated_type
go,field_declaration,NONTERMINAL,field_declaration_list
go,_field_identifier,NONTERMINAL,field_declaration
