language,rule,path,operation,name,value
r,braced_expression,$.content.members[2],FIELD,close,
r,braced_expression,$.content.members[2].content,SYMBOL,_close_brace,
r,parenthesized_expression,$,PREC,,0
r,parenthesized_expression,$.content,SEQ,,
r,parenthesized_expression,$.content.members[0],FIELD,open,
r,parenthesized_expression,$.content.members[0].content,SYMBOL,_open_parenthesis,
r,parenthesized_expression,$.content.members[1],FIELD,body,
r,parenthesized_expression,$.content.members[1].content,SYMBOL,_expression,
r,parenthesized_expression,$.content.members[2],FIELD,close,
r,parenthesized_expression,$.content.members[2].content,SYMBOL,_close_parenthesis,
r,call,$,PREC_RIGHT,,20
r,call,$.content,SEQ,,
r,call,$.content.members[0],FIELD,function,
r,call,$.content.members[0].content,SYMBOL,_expression,
r,call,$.content.members[1],FIELD,arguments,
r,call,$.content.members[1].content,ALIAS,,"""arguments"""
r,call,$.content.members[1].content.content,SYMBOL,call_arguments,
r,subset,$,PREC_RIGHT,,20
r,subset,$.content,SEQ,,
r,subset,$.content.members[0],FIELD,function,
r,subset,$.content.members[0].content,SYMBOL,_expression,
r,subset,$.content.members[1],FIELD,arguments,
r,subset,$.content.members[1].content,ALIAS,,"""arguments"""
r,subset,$.content.members[1].content.content,SYMBOL,subset_arguments,
r,subset2,$,PREC_RIGHT,,20
r,subset2,$.content,SEQ,,
r,subset2,$.content.members[0],FIELD,function,
r,subset2,$.content.members[0].content,SYMBOL,_expression,
r,subset2,$.content.members[1],FIELD,arguments,
r,subset2,$.content.members[1].content,ALIAS,,"""arguments"""
r,subset2,$.content.members[1].content.content,SYMBOL,subset2_arguments,
r,call_arguments,$,SEQ,,
r,call_arguments,$.members[0],FIELD,open,
r,call_arguments,$.members[0].content,SYMBOL,_open_parenthesis,
r,call_arguments,$.members[1],SEQ,,
r,call_arguments,$.members[1].members[0],CHOICE,,
r,call_arguments,$.members[1].members[0].members[0],FIELD,argument,
r,call_arguments,$.members[1].members[0].members[0].content,SYMBOL,argument,
r,call_arguments,$.members[1].members[0].members[1],BLANK,,
r,call_arguments,$.members[1].members[1],REPEAT,,
r,call_arguments,$.members[1].members[1].content,SEQ,,
r,call_arguments,$.members[1].members[1].content.members[0],SYMBOL,comma,
r,call_arguments,$.members[1].members[1].content.members[1],CHOICE,,
r,call_arguments,$.members[1].members[1].content.members[1].members[0],FIELD,argument,
r,call_arguments,$.members[1].members[1].content.members[1].members[0].content,SYMBOL,argument,
r,call_arguments,$.members[1].members[1].content.members[1].members[1],BLANK,,
r,call_arguments,$.members[2],FIELD,close,
r,call_arguments,$.members[2].content,SYMBOL,_close_parenthesis,
r,subset_arguments,$,SEQ,,
r,subset_arguments,$.members[0],FIELD,open,
r,subset_arguments,$.members[0].content,SYMBOL,_open_bracket,
r,subset_arguments,$.members[1],SEQ,,
r,subset_arguments,$.members[1].members[0],CHOICE,,
r,subset_arguments,$.members[1].members[0].members[0],FIELD,argument,
r,subset_arguments,$.members[1].members[0].members[0].content,SYMBOL,argument,
r,subset_arguments,$.members[1].members[0].members[1],BLANK,,
r,subset_arguments,$.members[1].members[1],REPEAT,,
r,subset_arguments,$.members[1].members[1].content,SEQ,,
r,subset_arguments,$.members[1].members[1].content.members[0],SYMBOL,comma,
r,subset_arguments,$.members[1].members[1].content.members[1],CHOICE,,
r,subset_arguments,$.members[1].members[1].content.members[1].members[0],FIELD,argument,
r,subset_arguments,$.members[1].members[1].content.members[1].members[0].content,SYMBOL,argument,
r,subset_arguments,$.members[1].members[1].content.members[1].members[1],BLANK,,
r,subset_arguments,$.members[2],FIELD,close,
r,subset_arguments,$.members[2].content,SYMBOL,_close_bracket,
