quotient_id,representative_case_id,stage,class,kind,diagnostic
Q0001,d5fa3dcd4a5165315cc81c14eaba2a6cd5fbfa69d7f2978d0437fe1cf29a08fb,BINARY_LIFT,UNKNOWN_FAILURE,binary_lift_assembly,"binary frontend: semantic lifting unavailable for instruction ""push"""
Q0002,d5fa3dcd4a5165315cc81c14eaba2a6cd5fbfa69d7f2978d0437fe1cf29a08fb,BINARY_LIFT,UNKNOWN_FAILURE,binary_lift_executable,"binary frontend: semantic lifting unavailable for instruction ""push"""
Q0003,d5fa3dcd4a5165315cc81c14eaba2a6cd5fbfa69d7f2978d0437fe1cf29a08fb,BINARY_LIFT,UNKNOWN_FAILURE,binary_lift_machine_code,"binary frontend: semantic lifting unavailable for instruction ""push"""
Q0004,d5fa3dcd4a5165315cc81c14eaba2a6cd5fbfa69d7f2978d0437fe1cf29a08fb,BINARY_LIFT,UNKNOWN_FAILURE,binary_lift_object,"binary frontend: semantic lifting unavailable for instruction ""push"""
Q0005,b4e860066dd9f90cf61bdf78c4203773bdc0003cd21b91181bda8b0f360fc555,N0_SOURCE_PARSE,FRONTEND,native,expected expression
Q0006,99d2c7cc62c666caaf8a4ee57544fcc0edf154fa7880bd29988626f1428c4c7d,NATIVE,UNKNOWN_FAILURE,assembly,UNIMPLEMENTED_NATIVE_GAP function binding node=1
Q0007,99d2c7cc62c666caaf8a4ee57544fcc0edf154fa7880bd29988626f1428c4c7d,NATIVE,UNKNOWN_FAILURE,executable,UNIMPLEMENTED_NATIVE_GAP function binding node=1
Q0008,99d2c7cc62c666caaf8a4ee57544fcc0edf154fa7880bd29988626f1428c4c7d,NATIVE,UNKNOWN_FAILURE,machine_code,UNIMPLEMENTED_NATIVE_GAP function binding node=1
Q0009,99d2c7cc62c666caaf8a4ee57544fcc0edf154fa7880bd29988626f1428c4c7d,NATIVE,UNKNOWN_FAILURE,object,UNIMPLEMENTED_NATIVE_GAP function binding node=1
